City_ID,City,City_ID,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
124,Cap Malheureux,124,mu,77.0,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
125,Padang,125,id,82.4,light rain,-0.9492,100.3543,Mercure Padang
126,Huarmey,126,pe,69.94,few clouds,-10.0681,-78.1522,Hotel Miramar
128,Kaitangata,128,nz,60.01,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
129,Touros,129,br,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
130,Dakar,130,sn,64.4,clear sky,14.6937,-17.4441,Redface Studios Meublés
131,Bluff,131,nz,62.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
137,Kirakira,137,sb,82.92,broken clouds,-10.4544,161.9205,SanBiz Lodge
142,Tabuk,142,sa,87.04,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
143,El Alto,143,pe,69.39,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
146,Santa Lucia,146,es,66.2,scattered clouds,27.9117,-15.5407,Las Tirajanas
148,Itacare,148,br,82.4,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
149,Plettenberg Bay,149,za,61.77,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
150,Katsuura,150,jp,69.01,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
151,Sur,151,om,80.51,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
153,Nishihara,153,jp,82.4,broken clouds,26.1842,127.7558,Minshuku Agaihama
157,Guerrero Negro,157,mx,68.76,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
158,Vila Velha,158,br,71.6,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
161,Mahebourg,161,mu,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Yulara,164,au,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
165,Tolaga Bay,165,nz,63.54,scattered clouds,-38.3667,178.3,Tolaga Bay Motel
169,San Patricio,169,mx,71.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
170,Flinders,170,au,79.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
171,Nakatsu,171,jp,64.0,clear sky,33.5981,131.1883,Toyoko Inn Oita Nakatsu Ekimae
172,Cabo San Lucas,172,mx,78.8,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
176,Morant Bay,176,jm,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
178,Birin,178,dz,65.86,clear sky,26.8865,88.0718,Sangam hotel and lodge
179,Bengkulu,179,id,81.5,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
181,Akyab,181,mm,81.16,overcast clouds,20.15,92.9,Hotel Memory
186,Balikpapan,186,id,87.57,broken clouds,-1.2675,116.8289,ibis Balikpapan
187,Lima,187,pe,72.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
191,Vicente Guerrero,191,mx,66.2,scattered clouds,19.1194,-98.1708,Churros Inn
193,Kapaa,193,us,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
195,Ternate,195,id,84.96,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
197,Areosa,197,pt,62.6,broken clouds,41.7178,-8.8571,Hotel Flôr de Sal
198,Codrington,198,ag,80.8,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
205,Grand Gaube,205,mu,77.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
