City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
86,Tuktoyaktuk,69.4541,-133.0374,-11.2,77,40,21.85,snow
87,Dikson,73.5069,80.5464,-10.84,78,100,3.11,overcast clouds
88,Bambous Virieux,-20.3428,57.7575,77.0,94,40,7.38,scattered clouds
89,Uvinza,-5.1036,30.3911,64.38,95,100,2.86,overcast clouds
90,Ahipara,-35.1667,173.1667,66.67,76,39,11.74,scattered clouds
91,Los Llanos De Aridane,28.6585,-17.9182,64.4,68,21,6.91,few clouds
92,Sao Joao Da Barra,-21.6403,-41.0511,72.81,89,100,7.0,overcast clouds
93,Port Alfred,-33.5906,26.891,65.41,84,80,13.78,broken clouds
94,Biak,-0.9131,122.8766,84.42,65,98,1.36,overcast clouds
95,Mahebourg,-20.4081,57.7,77.0,94,40,7.38,scattered clouds
96,Oxford,51.7522,-1.256,50.0,87,90,3.09,overcast clouds
97,Skibbereen,51.55,-9.2667,44.6,100,75,8.05,mist
98,Owando,-0.4819,15.8999,71.28,96,100,2.93,overcast clouds
99,Bluff,-46.6,168.3333,64.0,64,100,1.99,overcast clouds
100,Souillac,-20.5167,57.5167,77.0,94,40,6.82,light rain
101,Arenapolis,-14.4503,-56.8461,74.79,74,53,2.44,broken clouds
102,Castro,-24.7911,-50.0119,53.51,75,0,3.18,clear sky
103,Takoradi,4.8845,-1.7554,79.29,88,26,6.8,scattered clouds
104,Rodrigues Alves,-7.738,-72.6509,72.45,98,94,2.37,overcast clouds
105,Zhengjiatun,43.5064,123.5064,61.43,22,100,13.06,overcast clouds
106,Miri,4.4148,114.0089,82.4,83,40,4.61,scattered clouds
107,Troitsko-Pechorsk,62.7084,56.1964,31.26,95,98,7.52,overcast clouds
108,Haines Junction,60.7522,-137.5108,37.4,32,100,5.75,overcast clouds
109,Avarua,-21.2078,-159.775,82.4,69,75,12.66,broken clouds
110,Jiuquan,39.7432,98.5174,35.46,91,100,3.29,light rain
111,Guerrero Negro,27.9769,-114.0611,69.84,39,62,10.31,broken clouds
112,Lazaro Cardenas,17.9583,-102.2,77.32,61,64,4.76,broken clouds
113,Houma,29.5958,-90.7195,61.0,82,90,18.41,overcast clouds
114,Buraydah,26.326,43.975,73.4,49,20,10.36,few clouds
115,Dingle,10.9995,122.6711,84.74,69,100,14.83,overcast clouds
116,Tuatapere,-46.1333,167.6833,64.0,64,100,1.99,overcast clouds
117,Ushuaia,-54.8,-68.3,42.8,65,0,2.3,clear sky
118,Kavieng,-2.5744,150.7967,83.86,68,32,1.92,scattered clouds
119,Naryan-Mar,67.6713,53.087,26.53,96,100,7.02,overcast clouds
120,Torbay,47.6666,-52.7314,27.0,80,20,2.3,few clouds
121,Bathsheba,13.2167,-59.5167,77.0,65,40,20.71,scattered clouds
122,Vilyuysk,63.7553,121.6247,18.19,85,93,4.81,overcast clouds
123,Severo-Kurilsk,50.6789,156.125,37.51,98,100,16.71,light rain
124,Naco,31.3347,-109.9483,70.0,12,7,1.01,clear sky
125,Puerto Narino,-3.7703,-70.3831,75.2,100,0,1.68,clear sky
126,Bredasdorp,-34.5322,20.0403,59.0,88,100,4.61,overcast clouds
127,Agadir,30.4202,-9.5982,57.2,100,0,5.75,clear sky
128,Yerofey Pavlovich,53.9667,121.9667,33.96,54,8,2.68,clear sky
129,Iqaluit,63.7506,-68.5145,-4.0,71,75,18.41,snow
130,Manokwari,-0.8667,134.0833,83.32,69,94,4.14,overcast clouds
131,Kaitong,44.8135,123.15,56.84,28,100,9.84,overcast clouds
132,Concarneau,47.875,-3.9225,53.6,71,0,4.61,clear sky
133,Jumla,29.2747,82.1838,51.37,22,0,6.29,clear sky
134,Kaitangata,-46.2817,169.8464,59.0,62,49,11.99,scattered clouds
135,Awbari,26.5921,12.7805,58.8,26,0,6.93,clear sky
136,Dharchula,29.85,80.5333,65.19,25,1,1.92,clear sky
137,Nanortalik,60.1432,-45.2371,34.72,89,100,11.23,overcast clouds
138,Hanna,51.6334,-111.9018,55.4,26,44,11.5,scattered clouds
139,Belyy Yar,53.6039,91.3903,24.8,63,0,6.71,clear sky
