City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Itarantim,BR,2020-10-04 18:42:10,-15.66,-40.07,90.36,32,0,7.67
107,Chuy,UY,2020-10-04 18:42:10,-33.7,-53.46,56.53,75,100,15.9
108,Langsa,ID,2020-10-04 18:42:11,4.47,97.97,74.91,93,73,3.29
109,Grindavik,IS,2020-10-04 18:42:11,63.84,-22.43,41.0,80,40,6.93
110,Tessalit,ML,2020-10-04 18:42:11,20.2,1.01,93.54,24,49,1.72
111,Saint George,US,2020-10-04 18:42:11,37.1,-113.58,73.4,11,1,1.68
112,Mezen,RU,2020-10-04 18:42:12,65.85,44.24,34.63,91,0,5.75
113,Tiksi,RU,2020-10-04 18:42:12,71.69,128.87,22.03,95,59,16.87
114,Ceanu Mare,RO,2020-10-04 18:42:12,46.67,23.95,66.2,82,33,3.36
115,Fonte Boa,BR,2020-10-04 18:42:12,-2.5,-66.27,93.0,47,43,2.51
116,Alofi,NU,2020-10-04 18:42:12,-19.06,-169.92,75.2,88,100,12.75
117,Dharapuram,IN,2020-10-04 18:42:13,10.73,77.52,73.4,88,20,4.7
118,Port Elizabeth,ZA,2020-10-04 18:42:13,-33.92,25.57,64.4,88,75,14.99
119,Thunder Bay,CA,2020-10-04 18:42:13,48.4,-89.32,51.01,39,75,11.41
120,Mwinilunga,ZM,2020-10-04 18:42:13,-11.74,24.43,72.37,25,0,2.77
121,Mount Gambier,AU,2020-10-04 18:42:13,-37.83,140.77,44.6,100,75,2.24
122,Aksarka,RU,2020-10-04 18:42:14,66.56,67.8,35.42,86,100,14.83
123,Vytegra,RU,2020-10-04 18:42:14,61.01,36.45,53.29,80,100,12.21
124,Tuktoyaktuk,CA,2020-10-04 18:42:14,69.45,-133.04,35.6,100,90,17.22
125,Aleksandrov Gay,RU,2020-10-04 18:42:14,50.15,48.57,55.22,60,62,13.62
126,Trincomalee,LK,2020-10-04 18:42:14,8.57,81.23,79.93,77,51,18.54
127,Ankang,CN,2020-10-04 18:42:15,32.68,109.02,56.95,81,100,1.99
128,Khromtau,KZ,2020-10-04 18:42:15,50.25,58.43,44.11,70,100,16.6
129,Dzilam Gonzalez,MX,2020-10-04 18:42:15,21.28,-88.93,79.59,92,100,12.91
